대장아이디,시군구,읍면동,리,지번,기타지번,위도_도,위도_분,위도_초,경도_도,경도_분,경도_초,취약지역유형,지정면적_제곱미터,대피장소,취약지역지정사유,지정일,"지정등급_A,B,C,D"
2105,합천군,대병면,대지리,1447구,,35,32,21.899,127,57,58.3,토석류,0,대지리경로당,계상내 퇴적물 분포비율이 높으며 계류상부 사면붕괴지가 관측됨. 추후 위험사면으로부터 산사태발생우려가 있어 산사태 발생 우려지역으로 선정할 것으로 사료됨.,2015-06-26,B
2106,합천군,용주면,평산리,546구,,35,31,59.699,128,7,26.5,토석류,139,용주초등학교,계상내 세굴 및 침식이 진행중이며 퇴적물 분포비율이 높은 계류로 추후 토석류발생시 위험요인으로 작용될 요소들이 다수 존재하여 산사태 발생 우려지역으로 선정할 것으로 사료됨.,2015-06-26,B
2107,합천군,대병면,장단리,1260구,,35,30,33.099,128,2,21.7,토석류,0,장단장로교회,유출점에서 계류상부 50m지점까지 세굴 및 침식 사방시설물 붕괴등 추후 토석류발생시 위험요인이 발견됨으로 산사태 발생 우려지역으로 선정할 것으로 사료됨.,2015-06-26,A
2108,합천군,대병면,양리,산33임,,35,30,12.599,128,1,28,토석류,0,고정마을동회관,현재 자연사면으로부터 지속적인 토사유실이 관측되며 협소한 계류로 다수의 퇴적물이 쌓여있어 배수가 원활하지 못함. 추후 월류되어 계류에 인접한 인가에 피해를 줄 수 있을것으로 관측되어 산사태 발생 우려지역으로 선정할 것으로 사료됨.,2015-06-26,A
2109,합천군,대양면,오산리,산91임,,35,29,58.399,128,13,58,토석류,858,오산마을회관,계상내 퇴적물 분포비율이 높으며 일부구간 세굴 및 침식이 관측되는 계류로 위험요소가 다수 존재하는 계류로 추후 토석류발생시 위험요소로 작용되어 하부인가에 피해를 줄 우려가 있으므로 산사태 발생 우려지역으로 선정할 것으로 사료됨.,2015-06-26,A
2110,합천군,대양면,안금리,산117-1임,,35,29,18.699,128,11,39.2,토석류,396,양산노인정,지류가 합류되는 계류로 강우시 유량이 많을것으로 사료되며 상부로 계류경사가 급하여 유속이 빨라 하부인가에 피해가 우려되므로 산사태 발생 우려지역으로 선정할 것으로 사료됨.,2015-06-26,B
2111,합천군,쌍백면,죽전리,산37임,,35,27,17.199,128,7,4.1,토석류,0,이암경로당,계류내 일부구간 세굴 및 침식 또는 붕괴가 관측되는등 위험요소가 다수 분포하고 있으며 집중 강우로 인가내 석축이 붕괴되어 있는등 위험요소가 다수 분포하고 있는 유역으로 산사태 발생 우려지역으로 선정할 것으로 사료됨.,2015-06-26,B
2112,합천군,가회면,장대리,산192임,,35,27,15.899,128,2,39.9,토석류,0,도탐교회,계상내 세굴 및 침식이 진행중이며 우안에 존재하는 작업로 유실이 관측됨. 집중 강우시 재산피해와 붕괴확장우려가 있으므로 산사태 발생 우려지역을 선정할 것으로 사료됨.,2015-06-26,B
2113,합천군,가회면,중촌리,산166임,,35,27,1.199,128,0,15.4,토석류,0,오도경로당,본 조사지는 계류내 퇴적물인 전석 및 자갈분포비율이 높은 유역으로 추후 토석류발생시 위험요소로 작용될 우려가 있으므로 산사태 발생 우려지역으로 선정할 것으로 사료됨.,2015-06-26,A
2114,합천군,삼가면,문송리,산153임,,35,26,4.799,128,6,5.4,산사태,0,중문마을경로당,사면으로부터 소규모 토사유실이 관측되며 수목이 계류방향을 향하고 있어 위험요소가 확인되므로 산사태 발생 우려지역으로 선정할 것으로 사료됨.,2015-06-27,B
2115,합천군,삼가면,소오리,산47임,,35,24,33.699,128,6,24.5,토석류,0,삼가초등학교,인가와 인접한 사면으로부터 지속적인 토사유실이 관측되고 추후 산사태발생가능성이 관측되므로 산사태 발생 우려지역으로 선정할 것으로 사료됨.,2015-06-26,A
2116,합천군,삼가면,덕진리,산38-3임,,35,24,23.699,128,5,11.2,토석류,0,내동마을회관,계류 중상부 세굴 및 침식이 진행중이며 일부구간 붕괴지로 부터 토사유실이 관측됨. 토석류발생시 위험요인으로 작용하는 요소들이 존재하므로 산사태 발생 우려지역으로 선정할 것으로 사료됨.,2015-06-26,B
2117,합천군,삼가면,외토리,1399-4구,,35,22,18.599,128,5,18.3,토석류,0,제보마을경로당,계안 세굴 및 침식이 진행중이며 계류상부 산사태흔적이 관측되는 계류로 위험요소가 존재함. 추후 토석류발생시 위험요소들이 하부인가에 영향을 줄 수 있을것으로 판단되어 산사태 발생 우려지역으로 선정할 것으로 사료됨.,2015-06-26,B
2118,합천군,초계면,상대리,산11임,,35,31,41.299,128,14,26.2,토석류,0,하남경로당,계상내 전석 및 자갈등 퇴적물 분포비율이 높음 계류이며 일부 계안 붕괴지가 관측됨. 기사방시설이 존재하나 시설물이 많이 훼손된 상태임. 계류황폐화가 우려되는 유역으로 산사태 발생 우려지역으로 선정할 것으로 사료됨.,2015-06-26,B
2119,합천군,초계면,신촌리,산65임,,35,31,19.099,128,14,51.5,토석류,0,하남경로당,계류내 세굴 및 침식이 관측되며 일부구간 계안붕괴지가 관측되는 계류로 위험요소가 관측됨. 집중강우 시 하부인가에 위험요인으로 작용될 우려가 있어 산사태 발생 우려지역으로 선정할 것으로 사료됨.,2015-06-26,A
2120,합천군,초계면,신촌리,산64임,,35,31,9.099,128,14,52.9,토석류,0,하남경로당,계류폭이 협소하고 세굴 및 침식이 진행중이며 계안붕괴가 곳곳에서 관측됨으로 위험요소가 산재되어 있음. 토석류발생시 위험요소로 작용되어 하부인가에 피해를 줄 우려가 있으므로 산사태 발생 우려지역으로 선정할 것으로 사료됨.,2015-06-26,B
2121,합천군,초계면,신촌리,산60임,,35,31,10.099,128,14,56.1,토석류,0,하남경로당,계상내 퇴적물 분포비율이 높으며 일부구간 세굴 및 침식이 관측되는 계류로 계안내 위험요소가 산재되어 있어 산사태 발생 우려지역으로 선정할 것으로 사료됨.,2015-06-26,A
2122,합천군,쌍백면,육리,산104-4임,,35,27,16.999,128,9,47.9,토석류,0,평구2구경로당,계류상부 자연사면붕괴지로부터 토사유실이 관측되며 일부구간 소규모 붕괴가 관측됨. 추후 토석류발생시 계류폭이 협소하여 퇴적물이 계류를 막을경우 월류로 인하여 경작지 및 하부인가에 피해가 예상되므로 산사태 발생 우려지역으로 선정할 것으로 사료됨.,2015-06-26,B
2123,합천군,쌍백면,대현리,산14임,,35,27,13.499,128,12,10.8,토석류,0,대현리경로당,계류 양안 세굴 및 침식이 진행중이며 계류상부 전석 및 자갈분포비율이 높은 지역으로 추후 토석류 발생시 위험요소를 작용될 가능성이 있으므로 산사태 발생 우려지역으로 선정할 것으로 사료됨.,2015-06-26,B
2124,합천군,가회면,둔내리,산219-11 임,,35,28,54.199,127,59,15.4,토석류,932,황매산만남의광장,계류내 퇴적물 분포비율이 높으며 세굴 및 침식이 관측되는 계류로 위험요소가 다수 존재하는 계류로 추후 토석류발생시 위험요소로 작용될 우려가 있어 산사태 발생 우려지역으로 선정할 것으로 사료됨.,2015-06-26,B
2125,합천군,가회면,장대리,1212-6구,,35,27,23.199,128,3,7,토석류,0,도탐교회,계류내 퇴적물 분포비율이 높으며 세굴 및 침식이 관측되는 계류로 위험요소가 다수 존재하는 계류로 추후 토석류발생시 위험요소로 작용될 우려가 있어 산사태 발생 우려지역으로 선정할 것으로 사료됨.,2015-06-26,B
2126,합천군,삼가면,일부리,산24,,35,24,17.599,128,8,26.4,토석류,1000,삼가중학교,계안 세굴 및 침식이 진행중이며 계상내 유목전도 및 퇴적물이 다수 쌓여 있음. 토석류 발생시 위험요소 작용할수 있으므로 산사태 발생 우려지역으로 선정할 것으로 사료됨.,2015-06-26,A
2127,합천군,율곡면,노양리,1081-20 구,,35,38,50.099,128,11,34.2,토석류,0,노양2구마을회관,"최단부로부터 150m 지점의 지류 합류부까지 세굴, 침식이 심하여 하부 방향의 피해가 우려되어 산사태 발생 우려지역으로 선정하여야 할 것으로 사료됨",2015-06-26,B
2128,합천군,율곡면,노양리,1081 구,,35,38,18.999,128,11,13.7,토석류,0,노양1구경로당,계류내 붕괴지 및 전반에 걸쳐 침식 및 세굴이 심하게 진행중으로 최단부와 연접한 인가에 피해가 우려되어 산사태 발생 우려지역으로 선정하여야 할 것으로 사료됨,2015-06-26,A
2129,합천군,율곡면,와리,722구,,35,38,13.399,128,12,16.7,토석류,0,천암사,"기 사방시설물 이후 구간부터 침식, 세굴등이 지속적으로 진행중으로 향후 하부 방향의 피해가 예상되어 산사태 발생 우려지역으로 선정하여야 할 것으로 사료됨",2015-06-26,A
2130,합천군,쌍책면,상신리,1462구,,35,38,13.099,128,14,56.5,산사태,0,창동경로당,대규모 붕괴지가 관찰되고 노출된 기반암의 풍화가 심하여 추가 붕괴 및 침식이 예상되어 산사태 발생 우려지역으로 선정하여야 할 것으로 사료됨,2015-06-26,A
2131,합천군,율곡면,노양리,산184임,,35,37,59.299,128,11,48.7,토석류,0,노양2구마을회관,대규모 붕괴지 및 유목등이 다수 관찰되고 전석등 퇴적물이 적치되어 있어 집중 호우시 일시에 하부 방향으로 이동에 의한 피해가 우려되어 산사태 발생 우려지역으로 선정하여야 할 것으로 사료됨,2015-06-26,A
2132,합천군,합천읍,용계리,954구,,35,37,48.099,128,10,13.3,토석류,0,사동회관,계류 중간부 이후 침식 및 세굴에 의해 식생의 뿌리 노출이 다수 관찰되고 대규모 전석이 다수 분포하고 있어 계류폭 확장 및 퇴적물 이동에 의한 하부 방향의 피해가 예상되어 산사태 발생 우려지역으로 선정하여야 할 것으로 사료됨,2015-06-26,A
2133,합천군,쌍책면,하신리,717구,,35,37,16.799,128,14,42.1,토석류,0,이책초등학교,노출된 기반암의 급경사로 이루어진 계류로 집중 호우시 하부 방향으로 퇴적물 이동이 용이하여 하부 방향의 피해가 우려되어 산사태 발생 우려지역으로 선정하여야 할 것으로 사료됨,2015-06-26,A
2134,합천군,합천읍,용계리,산106임,,35,37,17.599,128,9,52.5,토석류,0,사동회관,비교적 소규모의 안정적인 계류이나 중간부 이후 우측 사면의 풍화가 심하여 붕락 및 토사 유출에 의해 주변 경작지의 피해가 우려되어 산사태 발생 우려지역으로 선정하여야 할 것으로 사료됨,2015-06-26,B
2135,합천군,율곡면,기리,471구,,35,37,4.999,128,13,11.8,토석류,0,낙민2구마을회관,"지류 합류부를 중심으로 세굴, 침식이 진행중이며 전석이 다수 분포하고 있어 향후 계류폭 확장 및 퇴적물 이동이 용이할 것으로 사료되어 산사태 발생 우려지역으로 선정하여야 할 것으로 사료됨",2015-06-26,A
2136,합천군,합천읍,장계리,981구,,35,37,0.399,128,7,38,토석류,0,장계리경로당,붕괴지 및 토사 유출 구간이 다수 관찰되는 구간으로 집중 호우시 퇴적물 이동에 따른 하부 방향의 피해가 예상되어 산사태 발생 우려지역으로 선정하여야 할 것으로 사료됨,2015-06-26,A
2137,합천군,율곡면,항곡리,1068-2구,,35,36,37.499,128,12,40,토석류,0,율곡면할머니경로당,"계류 전반에 걸쳐 침식, 세굴이 진행중으로 계류 주변 인가와 경작지에 피해를 줄 수 있어 산사태 발생 우려지역으로 설정함",2015-06-26,A
2138,합천군,율곡면,율진리,1138구,,35,36,20.799,128,11,53.5,토석류,0,율곡치안센터,"소규모의 전석과 자갈이 다수 퇴적되어 있어, 집중호우시 붕괴된 퇴적물이 물과 함께 빠르게 이동되어 계류 하부인가에 피해를 줄 수 있어 산사태 발생 우려지역으로 선정하여야 할 것으로 사료됨",2015-06-26,B
2139,합천군,율곡면,두사리,산54임,,35,36,5.799,128,13,49.2,토석류,0,낙민2구마을회관,"풍화가 심한 암반사면으로부터 붕락된 전석이 다수 적치되어 있고 침식, 세굴이 진행중으로 산사태 발생 우려지역으로 선정하여야 할 것으로 사료됨",2015-06-26,A
2140,합천군,율곡면,항곡리,산82임,,35,35,50.199,128,12,39.6,토석류,0,항곡마을회관,계류 중간부 이후 붕괴지가 다수 관찰되며 추가 붕괴시 최단부 주변 인가 및 경작지 피해가 우려되어 산사태 발생 우려지역으로 선정하여야 할 것으로 사료됨,2015-06-26,A
2141,합천군,합천읍,서산리,산61임,,35,35,57.599,128,8,44.4,토석류,0,합천소방서,침식 및 세굴에 의해 식생의 뿌리 노출이 다수 관찰되고 대규모 전석이 다수 분포하고 있어 계류폭 확장 및 퇴적물 이동에 의한 하부 방향의 피해가 예상되어 산사태 발생 우려지역으로 선정하여야 할 것으로 사료됨,2015-06-26,A
2142,합천군,율곡면,갑산리,1350 구,,35,35,27.399,128,14,39.2,토석류,0,갑산1구마을회관,"풍화가 심한 암반사면으로부터 붕락된 전석이 다수 적치되어 있고 침식, 세굴이 진행중으로 산사태 발생 우려지역으로 선정하여야 할 것으로 사료됨",2015-06-26,A
2143,합천군,율곡면,낙민리,1517-6구,,35,35,7.599,128,14,3,토석류,0,낙민2구마을회관,계상내 소규모 전석 및 유목등 유송잡물이 다수 적치되어 있어 집중호우시 일시에 퇴적물 이동이 용이하여 하부 방향 인가의 피해가 우려되어 산사태 발생 우려지역으로 선정하여야 할 것으로 사료됨,2015-06-26,A
2144,합천군,합천읍,서산리,산255-2임 ①,,35,35,4.499,128,9,11.4,토석류,0,합천소방서,계류 전반에 걸쳐 대규모 붕괴지 및 유목등이 다수 관찰되고 전석등 퇴적물이 적치되어 있어 집중 호우시 일시에 하부 방향으로 이동에 의한 피해가 우려되어 산사태 발생 우려지역으로 선정하여야 할 것으로 사료됨,2015-06-26,A
2145,합천군,율곡면,낙민리,1517-9구,,35,35,1.199,128,14,22.5,토석류,0,낙민3구마을회관,"바닥부 기반암이 노출된 계류로 풍화가 심한 암반사면으로부터 붕락된 전석이 다수 적치되어 있고 침식, 세굴이 진행중으로 산사태 발생 우려지역으로 선정하여야 할 것으로 사료됨",2015-06-26,A
2146,합천군,합천읍,서산리,산274-8임,,35,34,13.299,128,8,42.5,토석류,0,서산리경로당,노출된 암반사면의 상부 토사층의 토사 유출이 다수 관찰되고 최단부 주변 인가가 인접하고 있어 피해가 우려되어 산사태 발생 우려지역으로 선정하여야 할 것으로 사료됨,2015-06-26,A
2147,합천군,율곡면,본천리,산24임,,35,33,34.499,128,12,0.8,토석류,0,본천마을경로회관,"암반사면의 풍화가 심하여 암반사면으로부터 붕락된 전석이 다수 적치되어 있고 침식, 세굴이 진행중으로 산사태 발생 우려지역으로 선정하여야 할 것으로 사료됨",2015-06-26,A
2148,합천군,덕곡면,본곡리,1330-2구,,35,38,34.099,128,18,49.6,토석류,267,가봉마을회관,계류 전반에 걸쳐 침식이 진행중으로 식생의 뿌리 노출이 다수 관찰되며 계상내 소규모 전석이 다수 분포하고 있어 퇴적물 이동에 의한 하부 방향의 피해가 우려되어 산사태 발생 우려지역으로 선정하여야 할 것으로 사료됨,2015-06-26,B
2149,합천군,덕곡면,포두리,산190임,,35,38,29.099,128,20,48.9,토석류,798,북동마을회관,바닥부 기반암이 노출된 급경사 계류로 퇴적물이 일시에 빠르게 이동될 것으로 우려되는 구간을 산사태 발생 우려지역으로 선정하여야 할 것으로 사료됨,2015-06-26,B
2150,합천군,덕곡면,포두리,1434-2 구,,35,38,11.799,128,20,11,토석류,841,포두리회관,최단부 배수 상태가 불량하며 계상내 유목등 유송 잡물이 다수 적치되어 있어 향후 퇴적물의 이동에 의한 피해가 우려되어 산사태 발생 우려지역으로 선정하여야 할 것으로 사료됨,2015-06-26,B
2151,합천군,덕곡면,장리,1321구,,35,37,28.599,128,19,30.3,토석류,472,장동마을경로당,대규모 붕괴지 및 유목등이 다수 관찰되고 전석등 퇴적물이 적치되어 있어 집중 호우시 일시에 하부 방향으로 이동에 의한 피해가 우려되어 산사태 발생 우려지역으로 선정하여야 할 것으로 사료됨,2015-06-26,A
2152,합천군,덕곡면,장리,1309구,,35,37,18.699,128,19,37.1,토석류,230,장동마을경로당,계안내 노출된 퇴적암으로부터 탈락된 소규모 전석이 다수 분포하고 있고 풍화가 심하여 향후 소규모 전석의 유입이 지속적으로 이루어 질 가능성이 높아 산사태 발생 우려지역으로 선정하여야 할 것으로 사료됨,2015-06-26,B
2153,합천군,청덕면,성태리,산51,,35,35,15.099,128,19,15.8,토석류,0,덕원서원,경작지 주변 콘크리트 배수로가 설치되어 있으나 배수로 이후 구간은 구곡 침식 형태를 띠며 전석등이 다수 적치되어 있어 최단부 주변 경작지 및 농로의 피해가 우려되어 산사태 발생 우려지역으로 선정하여야 할 것으로 사료됨,2015-06-26,B
2154,합천군,청덕면,앙진리,1127구,,35,31,42.099,128,21,21.3,토석류,0,이남문화마을복지관,유송 잡물등 퇴적물이 다수 적치되어 있어 계류주변 경작지 및 인가에 피해를 줄 수 있어 산사태 발생 우려지역으로 선정하여야 할 것으로 사료됨,2015-06-26,B
2155,합천군,청덕면,앙진리,1130구,,35,31,33.199,128,21,26.7,토석류,0,이남문화마을복지관,최단부 주변 집중 호우시 수목의 전도에 의해 인가 피해가 있는 구간으로 계류내 전석등 퇴적물도 다수 적치되어 있어 추가 피해의 우려가 있어 산사태 발생 우려지역으로 선정하여야 할 것으로 사료됨,2015-06-26,A
2156,합천군,청덕면,초곡리,837구,,35,31,10.299,128,20,17.2,토석류,0,초곡마을회관,기슭막이 상부 방향으로 소규모 전석이 다수 분포하고 지류 합류부는 세굴 침식이 진행중으로 산사태 발생 우려지역으로 선정하여야 할 것으로 사료됨,2015-06-26,B
2157,합천군,청덕면,앙진리,1119구,,35,31,6.499,128,21,44.1,토석류,0,이남문화마을복지관,"기존 기슭막이의 연장 검토가 필요한 구간으로 양안 사면이 세굴, 침식이 진행중으로 산사태 발생 우려지역으로 선정하여야 할 것으로 사료됨",2015-06-26,B
2158,합천군,청덕면,초곡리,834구,,35,31,13.699,128,20,27.8,토석류,0,초곡마을회간,침식 및 세굴에 의해 식생의 뿌리 노출이 다수 관찰되고 대규모 전석이 다수 분포하고 있어 계류폭 확장 및 퇴적물 이동에 의한 하부 방향의 피해가 예상되어 산사태 발생 우려지역으로 선정하여야 할 것으로 사료됨,2015-06-26,B
2159,합천군,청덕면,앙진리,1110-1구,,35,30,51.099,128,21,46.9,토석류,0,유천교회,계류 내 소규모 전석 및 유목등의 퇴적물이 다수 적치되어 있어 집중호우시 물과 함께 빠르게 이동되어 계류 하부인가 피해 우려로 산사태 발생 우려지역으로 선정하여야 할 것으로 사료됨,2015-06-26,A
2160,합천군,청덕면,앙진리,1152-1구,,35,30,22.999,128,20,53.7,토석류,0,초곡마을회관,노출된 암반사면 상부 토사층의 세굴에 의해 계류폭 확장이 예상되는 구간으로 산사태 발생 우려지역으로 선정하여야 할 것으로 사료됨,2015-06-26,B
2161,합천군,청덕면,운봉리,산136임,,35,36,58.899,128,17,58.6,토석류,0,송정2구경로당,대규모 붕괴지 및 유목등이 다수 관찰되고 전석등 퇴적물이 적치되어 있어 집중 호우시 일시에 하부 방향으로 이동에 의한 피해가 우려되어 산사태 발생 우려지역으로 선정하여야 할 것으로 사료됨,2015-06-26,A
2162,합천군,쌍책면,진정리,582구,,35,35,54.399,128,17,36.1,토석류,0,외촌할머니경로당,인가가 인접하고 있으며 대규모 전석이 다수 분포하고 있어 퇴적물 이동시 피해가 우려되어 산사태 발생 우려지역으로 선정하여야 할 것으로 사료됨,2015-06-26,B
2163,합천군,쌍책면,다라리,산47-4임,,35,34,59.299,128,17,32.1,토석류,0,쌍책면보건지소,계상내 위험사면 및 대규모 붕괴지가 다수 분포하여 향후 산사태 및 토석류 발생 가능성이 높아 산사태 발생 우려지역으로 선정하여야 할 것으로 사료됨,2015-06-26,A
2164,합천군,적중면,죽고리,923-6구,,35,33,54.099,128,17,56.1,토석류,0,횡보마을회관,"풍화가 심한 암반사면으로부터 붕락된 전석이 다수 적치되어 있고 침식, 세굴이 진행중으로 산사태 발생 우려지역으로 선정하여야 할 것으로 사료됨",2015-06-26,A
2165,합천군,적중면,황정리,564천,,35,31,47.599,128,16,56.5,토석류,0,황정경로당,계상내 대규모 전석이 다수 적치되어 있어 집중 호우시 일시에 퇴적물 이동에 따른 피해가 우려되어 산사태 발생 우려지역으로 선정하여야 할 것으로 사료됨,2015-06-26,A
2166,합천군,합천읍,서산리,산152-1임,,35,35,28.899,128,7,27.5,토석류,0,합천소방서,세굴에 의한 마을 진입로 사면 및 경작지 기슭 유실이 진행중으로 해당 구간을 산사태 발생 우려지역으로 선정하여야 할 것으로 사료됨,2015-06-26,A
2167,합천군,합천읍,서산리,"1411구, 산153",,35,35,36.499,128,7,36.2,토석류,0,합천소방서,"소규모 전석이 분포하고 세굴이 진행중인 최단부 및 곡류가 심하여 침식이 진행중인 구간에 경작지가 인접하고 있는등 세굴, 침식에 의한 주변부 피해가 우려되어 산사태 발생 우려지역으로 선정하여야 할 것으로 사료됨",2015-06-26,A
2168,합천군,합천읍,인곡리,"산225-1구, 산119",,35,36,54.699,128,5,15.7,토석류,1000,장인보건진료소,최상부 주변 대규모 붕괴지 및 세굴에 의한 계류폭 확장중으로 퇴적물이 물과 함께 빠르게 이동되어 계류 하부인가에 피해를 줄 수 있는 지역임,2015-06-26,B
2169,합천군,청덕면,앙진리,산115임,,35,30,24.799,128,20,52.1,토석류,0,초곡마을회관,"붕괴, 침식에 의해 구곡을 형성하고 있는 계류로 추가 붕괴, 퇴적물 이동등으로 하부 방향의 경작지 및 피해가 우려되어 산사태 발생 우려지역으로 선정하여야 할 것으로 사료됨",2015-06-26,A
2170,합천군,야로면,하빈리,산54임,,35,43,38.199,128,11,12.6,토석류,0,야로초등학교,유출구 골막이 시설이 있으나 소규모 산사태 발생으로 토사슬라이딩 및 토석류와 전석이 발생한 지역으로 계류보전 사업을 통한 재산 및 인명의 안전을 확보하는 것이 좋을 것으로 보여짐.,2015-06-26,A
2171,합천군,야로면,금평리,748-4구,,35,41,54.699,128,10,46.9,토석류,0,금평회관,유역면적 및 계류가 짧은 곳으로 관찰되고 있고 있으나 위험사면부 및 계류내 퇴적물 및 토석류와 전석의 비율이 높게 관찰되고 있어 집중호우 시 위험요소가 증가 할것으로 판단됨.,2015-06-26,A
2172,합천군,묘산면,반포리,산112-1임,,35,38,50.499,128,5,50.2,토석류,0,교동마을회관,위험사면부에서 현재 붕락이 진행되고 있는 지역으로 토석류 및 토사유출이 발달되고 있어 계류보전 사업을 통한 안전을 확보하는 것이 좋을 것으로 관찰됨.,2015-06-26,A
2173,합천군,묘산면,팔심리,"산51임, 산48-1구",,35,37,59.499,128,5,40.4,토석류,0,팔심리마을회관,상층 임상이 불완전하여 좌안사면부에서 현재 붕락이 진행되고 있는 지역으로 토석류 및 토사유출이 발달되고 있어 계류보전 사업을 통한 안전을 확보하는 것이 좋을 것으로 관찰됨.,2015-06-26,B
2174,합천군,야로면,나대리,산143임,,35,44,8.299,128,9,51.9,토석류,0,나대2구마을회관,"전 구간 토석류 및 전석이 계류내 적치되어 있는 상태이며, 사면부에는 토심이 낮아 수목 전도가 다수 발생하여 산사태 발생 가능성이 높게 보여지고 있으므로 계류보전 사업을 통한 안전을 확보하는 것이 좋을 것으로 판단됨.",2015-06-26,A
2175,합천군,야로면,매촌리,산9-1임,,35,43,17.999,128,9,58.4,토석류,0,매촌리동회관,"계류의 사면부에서 토석류 및 전석이 발생하여 계류내 적치되어 있는 상태이며, 사면부에는 토심이 낮아 수목 전도가 현상이 일어나고 있으며 산사태 발생 가능성이 높게 보여지고 있으므로 계류보전 사업을 통한 안전을 확보하는 것이 좋을 것으로 판단됨.",2015-06-26,A
2176,합천군,야로면,정대리,1227구,,35,41,44.599,128,9,38.5,토석류,0,정대리마을회관,계류 전 구간에 걸쳐 토심이 낮아 수목전도 현상이 일어나고 있으며 토석류 및 토사가 발생하여 하부 인가에 피해가 우려되는 지역으로 보여짐.,2015-06-26,A
2177,합천군,묘산면,거산리,산5임,산3-1,35,40,59.899,128,9,7.1,토석류,0,동남경로회관,최단부 하부로 계류보전 사업으로 대체적으로 안정적으로 보여지고 있으나 상부로 올라갈수록 누구침식에서 구곡침식으로 발달되는 과정으로 보여지고 있으며 현재 계상에서 수목의 전도와 사면부 암반층과 계류의 풍화로 인하여 토석류가 발생되어 계류보전 연장 사업이 필요한 것으로 보여지고 있음.,2015-06-26,A
2178,합천군,묘산면,안성리,산43임,,35,40,26.399,128,7,17.2,토석류,0,평촌마을회관,본 계류는 누구침식에서 구곡침식으로 발달 가능성이 높은 계류로 관찰되고 있으며 사면부와 계류바닥부에서 토사 유실과 토석류발생으로 인하여 하부 인가에 피해가 예상 되는 지역으로 보여지고 있음.,2015-06-26,A
2179,합천군,봉산면,압곡리,704-1임,,35,38,24.799,128,2,58.4,토석류,0,봉산면사무소,"최단부 우측으로 작업도로가 위치하고 있어 기슭막이 역할을 하고 있으며, 우수 시 좌안으로 침식과 세굴로 인하여 토사 및 토석류가 발생하고 있어 하부 인가에 직접적인 영향이 있을 것으로 보여짐.",2015-06-26,B
2180,합천군,봉산면,압곡리,산117-1임,,35,38,23.299,128,2,49.2,토석류,0,봉산면사무소,사면부의 토양의 긴박력이 양호하지 못하여 수목의 뿌리분 노출과 계류의 양안에서의 침식과 세굴롸 인하여 척악임지에서 임간나지로 발전 가능성이 높게 보여지고 있음.,2015-06-26,B
2181,합천군,가야면,야천리,196-1임,,35,46,48.199,128,8,33.6,토석류,0,야천2구마을회관,대체적으로 안정적인 계류로 관찰되고 있으나 지하수위가 높은 지역으로 토사유출이 지속적으로 발생하고 있으며 하부지방도로와 인가가 위치하고 있어 소규모 배수시설이 필요한 것으로 보여지고 있음.,2015-06-26,C
2182,합천군,가야면,구원리,산99임,,35,46,34.499,128,7,41.5,토석류,0,황산2구경노당,"본 계류 좌안의 사면부에서 암설붕락과 토심이 낮아 수목이 계류 방향으로 기울어져 있어 계류로 유입 가능성이 높은 지역으로 보여지며, 유수에 의한 토석류와 토사가 하부 인가에 지속으로 피해가 발생하여 인가에 직접적인 피해가 발생하는 지역으로 계류보전사업이 필요한 곳으로 산사태 발생 우려지역으로 선정하여야 할 것으로 판단됨.",2015-06-26,A
2183,합천군,가야면,황산리,산42임,,35,45,23.499,128,8,24.1,토석류,0,해인중학교,최단부 직하부로 인가가 인접하고 있으며현재 사방시설물로 안정적으로 보여질 수 있으나 사방시설물의 불량으로 추가적인 피해가 더 우려되는 지역으로 재정비 사업과 계류보전 연장이 필요한 것으로 보여짐.,2015-06-26,A
2184,합천군,야로면,나대리,555-5임,,35,45,17.399,128,10,17.2,토석류,0,나대1리마을회관,계류에 일부 구간으로 암반층으로 구성되어 있으며 현재 암설붕락이 진행중에있으며 토심이 낮아 수목전도와 수목의 뿌리분 노출로 토사유출이 지속적으로 발생하는 지역으로 계류보전사업이 필요함.,2015-06-26,A
2185,합천군,가야면,사촌리,1233-4구,,35,45,7.599,128,6,48.5,토석류,0,심대동회관,유출구 하부로 계단식 경작지가 위치하고 있으며 현재 일부 구간에서 대규모 전석과 토석류가 발생되고 있어 하부 인가에 피해가 우려되므로 산사태 발생 우려지역으로 선정하게 됨.,2015-06-26,A
2186,합천군,가야면,가천리,산37-4임,,35,44,57.299,128,6,6.1,토석류,0,가천리덕방마을회관,최단부 지점 계류보전 사업으로 대체적으로 안정적으로 보여지고 있으나 상부로 올라갈수록 누구침식에서 구곡침식으로 발달되는 과정으로 보여지고 있으며 현재 계상에서 수목의 뿌리분 노출로 인하여 계류방향으로 수목이 기울어져 있으며 현재 초기황폐지로 보여지고 있어 산사태 발생 우려지역으로 선정하는 것이 타당하다고 판단됨.,2015-06-26,A
2187,합천군,가야면,죽전리,931구,,35,44,47.499,128,4,13.7,토석류,0,죽전리새터마을회관,유출구 지점 인근으로 마을회관과 인가가 밀집하고 있고 사면부에서 토석류 및 토사유출이 발생되고 있어 계류보전 사업 및 소규모 배수시설의 연장이 필요함.,2015-06-26,A
